Titulo,Autor,Genero,NroPaginas,Idioma,Precio
El amor en los tiempos del cólera,Gabriel García Márquez,Romance,368,Español,21.50
Brave New World,Aldous Huxley,Ciencia ficción,311,Inglés,20.00
La ciudad y los perros,Mario Vargas Llosa,Realismo,427,Español,23.75
The Catcher in the Rye,J.D. Salinger,Novela,234,Inglés,16.40
El túnel,Ernesto Sábato,Psicológico,158,Español,14.99
The Hobbit,J.R.R. Tolkien,Fantasía,310,Inglés,25.50
La casa de los espíritus,Isabel Allende,Realismo mágico,453,Español,22.30
The Lord of the Rings,J.R.R. Tolkien,Fantasía,1178,Inglés,35.99
El Aleph,Jorge Luis Borges,Fantástico,155,Español,15.25
The Handmaid's Tale,Margaret Atwood,Distopía,311,Inglés,19.75
